# Teneurs completees par un modele, associees a un code CIQUAL.
#
# CIQUAL laisse des trous -- 143 fiches sans energie determinee, 223 sans sucres,
# et 313 fiches au total portent au moins une valeur absente. Une ligne sans
# energie n'est pas enregistrable. Ce fichier les comble.
#
# **Une valeur completee reste une valeur inventee.** Elle ne remplace jamais
# une mesure : elle vit dans ses propres colonnes, la lecture prefere toujours
# l'originale, et l'ecran dit champ par champ ce qui a ete devine.
#
# Une ligne par valeur, et non par fiche : c'est la granularite de la regle,
# et c'est ce qui rend une completion supprimable seule.
#
# Produit par la tache `generateCompletions`, puis **relu et corrigeable a la
# main**. Une correction survit a la generation suivante, qui ne redemande que
# les trous absents de ce fichier -- et qui retire les lignes dont l'ANSES
# publie desormais la mesure.
#
# Une teneur que l'ANSES publie arrete l'import : la ligne est soit fautive,
# soit un reliquat, et dans les deux cas elle doit se voir.
#
# --- L'energie ne se devine pas, elle se calcule ------------------------------
#
# Chaque fois que les quatre teneurs qui la determinent sont connues -- publiees
# par l'ANSES ou completees ici --, l'energie vient du reglement UE 1169/2011 :
# 4 kcal/g pour les proteines et les glucides, 9 pour les lipides, 2 pour les
# fibres. C'est le calcul que l'application fait deja (D87), et il ne laisse
# aucune place a une estimation.
#
# Les deux premieres lignes du fichier -- 11040 et 11055 -- ont ete ecrites a la
# main avant que la passe ne tourne, par le meme calcul. Elles n'ont pas ete
# regenerees : ce fichier ne reecrit jamais ce qu'il contient deja.

code_ciqual,macro,teneur
10074,CALORIES,79
10074,PROTEIN,15.5
1010,CALORIES,2
1024,CALORIES,0
10999,SUGARS,5
11016,SUGARS,4
11019,SUGARS,1
11026,SUGARS,0.9
11029,SUGARS,3
11036,SUGARS,2
11040,CALORIES,39
11041,SUGARS,8
11050,SUGARS,5
11055,CALORIES,17
11056,SUGARS,3
11057,CALORIES,207
11057,PROTEIN,4
11057,CARBS,13
11057,SUGARS,5
11057,FAT,11
11057,FIBER,20
11060,SUGARS,3
11062,SUGARS,2
11063,SUGARS,6
11065,SUGARS,2.4
11068,SUGARS,1
11070,SUGARS,1.5
11075,SUGARS,2
11085,CALORIES,190
11085,CARBS,3.5
11085,FIBER,74
11090,CALORIES,4
11092,CALORIES,54
11092,FAT,1.1
11095,CALORIES,321
11095,PROTEIN,21.2
11095,SUGARS,6
11129,SUGARS,3.5
11214,FIBER,0.3
11303,FIBER,0.1
11506,CARBS,0
11506,FIBER,0
12035,SUGARS,1
12059,CALORIES,174
12061,CALORIES,265
12067,CALORIES,551
12073,CALORIES,304
12311,CALORIES,268
12342,CALORIES,147
12768,CALORIES,281
12768,FAT,28
12815,SUGARS,0
13020,SUGARS,4.2
13055,CALORIES,33
13055,SUGARS,6.3
13061,CALORIES,52
13071,CALORIES,45
13077,CALORIES,86
13077,SUGARS,19
13080,CALORIES,256
13110,CALORIES,52
13113,CALORIES,47
13119,CALORIES,118
13119,CARBS,26
13119,SUGARS,15
13119,FIBER,3.5
13125,CALORIES,52
13126,CALORIES,67
13132,CALORIES,48
13136,CALORIES,50
13150,CALORIES,61
13150,SUGARS,9
13172,CALORIES,226
13172,PROTEIN,12
13177,SUGARS,1.7
13179,CALORIES,35
13180,CALORIES,32
13400,CALORIES,59
13401,CALORIES,52
13402,CALORIES,51
13402,CARBS,11.5
13402,SUGARS,11
13402,FIBER,1.2
13403,CALORIES,85
13403,CARBS,13
13403,SUGARS,12
13403,FIBER,3
13404,CALORIES,32
13404,CARBS,6.6
13404,SUGARS,6.3
13404,FIBER,1.1
13405,CALORIES,36
13405,CARBS,7
13405,SUGARS,6.5
13405,FIBER,1.5
13406,CALORIES,459
13407,CALORIES,41
13407,CARBS,7.5
13407,SUGARS,7
13407,FIBER,4
13408,CALORIES,27
13408,PROTEIN,0.4
13408,CARBS,5.8
13408,SUGARS,5.5
13408,FIBER,0.2
13409,CALORIES,25
13409,CARBS,5.8
13409,SUGARS,5.5
13409,FIBER,0.6
13410,CALORIES,12
13410,CARBS,2
13410,SUGARS,1.8
13410,FIBER,0.2
13411,CALORIES,15
13411,CARBS,1.8
13411,SUGARS,1.5
13411,FIBER,0.3
13412,CALORIES,58
13412,CARBS,12.5
13412,SUGARS,12
13412,FIBER,0.6
13413,CALORIES,51
13413,CARBS,10.5
13413,SUGARS,10
13413,FIBER,0.5
13414,CALORIES,53
13414,CARBS,12.5
13414,SUGARS,12
13414,FIBER,0.2
13415,CALORIES,14
13415,CARBS,1.8
13415,SUGARS,1.5
13415,FIBER,0.3
13416,PROTEIN,0.5
13419,CALORIES,44
13419,CARBS,9.5
13419,SUGARS,9
13419,FIBER,0.4
13420,CALORIES,38
13420,CARBS,8.5
13420,SUGARS,8
13420,FIBER,0.2
13425,CALORIES,74
13425,PROTEIN,0.5
13425,FAT,0.1
13426,CALORIES,82
13426,SUGARS,16.5
13427,CALORIES,93
13427,SUGARS,18.5
13428,CALORIES,82
13428,SUGARS,16
13429,CALORIES,61
13429,SUGARS,6
13430,CALORIES,39
13430,CARBS,8
13430,SUGARS,7.5
13430,FIBER,0.9
13431,CALORIES,48
13431,CARBS,9
13431,SUGARS,8.5
13431,FIBER,1.8
13432,CALORIES,37
13432,CARBS,6.5
13432,SUGARS,6
13432,FIBER,2
13433,CALORIES,36
13433,CARBS,7.5
13433,SUGARS,7
13433,FIBER,0.4
13434,CALORIES,40
13434,CARBS,8.5
13434,SUGARS,8
13434,FIBER,0.9
13435,CALORIES,92
13435,CARBS,19
13435,SUGARS,18
13435,FIBER,2.4
13436,CALORIES,26
13436,CARBS,5.5
13436,SUGARS,5
13436,FIBER,1
13437,CALORIES,56
13437,CARBS,11
13437,SUGARS,10
13437,FIBER,3
13438,CALORIES,45
13438,CARBS,9.5
13438,SUGARS,9
13438,FIBER,2.2
13439,CALORIES,27
13439,CARBS,4.5
13439,SUGARS,4
13439,FIBER,3
13440,CALORIES,81
13440,CARBS,17
13440,SUGARS,16
13440,FIBER,1.6
13499,CALORIES,98
13523,CALORIES,139
13529,CALORIES,155
13529,SUGARS,16
13547,CALORIES,80
13549,CALORIES,67
13552,CALORIES,64
13552,SUGARS,13
13614,SUGARS,6.5
13997,CALORIES,46
15015,SUGARS,18
15015,FAT,1.5
15015,FIBER,5
15030,CALORIES,53
15030,CARBS,3.6
15030,SUGARS,1.5
15030,FIBER,1.6
15032,SUGARS,2
15047,SUGARS,0.8
16404,SUGARS,0.5
16588,CALORIES,321
17800,CALORIES,900
17800,FAT,100
18003,SUGARS,0
18076,SUGARS,0
18102,CALORIES,409
18102,FIBER,3.5
18106,SUGARS,9.5
18150,SUGARS,15
18155,SUGARS,0
18161,SUGARS,6
19000,SUGARS,4.65
19010,CALORIES,72
19010,PROTEIN,3.3
19010,CARBS,4.7
19010,SUGARS,4.7
19015,CALORIES,479
19015,PROTEIN,14
19270,CALORIES,102
19270,PROTEIN,3.75
19437,CALORIES,286
19437,FIBER,0.8
19585,CALORIES,145
19638,FIBER,0.3
19669,FIBER,0.4
19707,FIBER,0.4
19727,FIBER,0.2
19728,FIBER,0.3
19863,FIBER,0.6
20040,CALORIES,22
20040,CARBS,3.5
20040,SUGARS,2.2
20040,FIBER,2.3
20106,CALORIES,65
20106,CARBS,5
20127,CALORIES,20
20127,CARBS,1.5
20127,SUGARS,0.5
20127,FIBER,1.5
20128,SUGARS,2.5
20134,SUGARS,3.5
20135,CARBS,2
20135,SUGARS,1.5
20136,SUGARS,3
20159,CALORIES,24
20159,CARBS,2.5
20161,CALORIES,26
20161,CARBS,2.5
20189,CALORIES,282
20195,SUGARS,2.5
20197,SUGARS,3
20202,CALORIES,195
20202,CARBS,6
20202,FIBER,70
20241,SUGARS,1.5
20256,CALORIES,183
20343,CALORIES,17
20343,PROTEIN,0.8
20343,FIBER,1.2
20344,CALORIES,19
20344,PROTEIN,0.9
20344,FIBER,1.3
20345,PROTEIN,0.85
20347,CALORIES,38
20347,SUGARS,2
20348,CALORIES,79
20348,SUGARS,1.5
20501,SUGARS,2.5
20521,SUGARS,1.5
20530,SUGARS,3.5
20534,SUGARS,1.5
20539,SUGARS,2
20800,CALORIES,109
20800,CARBS,25
20800,SUGARS,12
20800,FIBER,2
20801,CALORIES,311
20801,PROTEIN,5
20801,FAT,25
20802,CALORIES,318
20802,PROTEIN,5
20802,FAT,25
20803,CALORIES,106
20803,CARBS,22
20803,SUGARS,0.7
20803,FIBER,2.5
20804,CALORIES,33
20804,SUGARS,2
20805,CALORIES,30
20805,SUGARS,1.6
20806,CALORIES,15
20806,PROTEIN,0.5
20806,CARBS,2.5
20806,SUGARS,1.8
20806,FAT,0.1
20807,CALORIES,16
20807,PROTEIN,0.6
20807,CARBS,2.5
20807,SUGARS,1.7
20807,FAT,0.1
20808,CALORIES,16
20808,CARBS,1.8
20808,SUGARS,1.5
20808,FIBER,0.5
20809,CALORIES,13
20809,CARBS,1.8
20809,SUGARS,1.5
20809,FIBER,0.8
20810,CALORIES,14
20810,SUGARS,0
20811,CALORIES,117
20811,CARBS,26
20811,SUGARS,0.6
20811,FIBER,3
20812,PROTEIN,4.5
20812,FAT,1
20813,CALORIES,99
20813,SUGARS,4
20813,FIBER,4.5
20814,CALORIES,27
20815,CALORIES,26
20815,PROTEIN,1
20815,FAT,0.2
20816,CALORIES,20
20816,PROTEIN,0.9
20816,FAT,0.15
20817,CALORIES,31
20818,CALORIES,22
20818,PROTEIN,0.9
20818,FAT,0.15
20819,CALORIES,28
20819,PROTEIN,1
20819,FAT,0.2
20820,CALORIES,24
20820,PROTEIN,1.3
20820,CARBS,3
20820,SUGARS,1.5
20820,FAT,0.15
20821,CALORIES,38
20821,SUGARS,1.5
20822,CALORIES,33
20822,SUGARS,1.6
20823,SUGARS,0.7
20824,SUGARS,0.6
20825,SUGARS,0.6
20826,CALORIES,63
20826,CARBS,13
20826,SUGARS,2.5
20826,FIBER,2
20827,CALORIES,126
20827,CARBS,30
20827,SUGARS,0.8
20827,FIBER,2
20828,CALORIES,35
20828,CARBS,3
20828,SUGARS,1
20828,FIBER,2.5
20829,CALORIES,26
20829,CARBS,5
20829,SUGARS,2.5
20829,FIBER,1.8
20830,CALORIES,25
20830,CARBS,4.8
20830,SUGARS,2.3
20830,FIBER,1.7
20831,CALORIES,88
20831,PROTEIN,1.3
20831,CARBS,18
20831,SUGARS,4
20831,FAT,0.15
20832,SUGARS,5.5
20833,CALORIES,127
20833,SUGARS,1.5
20833,FIBER,5.5
20834,CALORIES,122
20834,CARBS,28
20834,SUGARS,1
20834,FIBER,2.5
20835,CALORIES,19
20835,CARBS,2.8
20835,SUGARS,2.6
20835,FIBER,1.4
20927,FIBER,0.8
20989,CALORIES,31
20989,SUGARS,0.5
20989,FAT,0.3
20989,FIBER,2
20990,SUGARS,2
20991,SUGARS,2
20993,SUGARS,2
20994,SUGARS,1.5
20997,CALORIES,444
20997,SUGARS,1
20997,FIBER,12
20998,SUGARS,1.5
21007,CALORIES,234
21007,PROTEIN,27
23021,CALORIES,245
23050,SUGARS,34
2381,PROTEIN,0.2
25035,CALORIES,185
25035,CARBS,4
25035,SUGARS,2
25058,SUGARS,2
25065,SUGARS,2
25126,SUGARS,1.5
25141,SUGARS,1
25142,SUGARS,1.5
25145,SUGARS,1.2
25205,SUGARS,3
25211,SUGARS,2.5
25243,SUGARS,1.5
25400,CALORIES,314
25400,CARBS,22
25400,SUGARS,3
25400,FIBER,1.5
25434,SUGARS,3
25501,FIBER,1.5
25504,CALORIES,111
25504,FAT,4
25505,CALORIES,134
25505,FAT,6
25537,SUGARS,0.2
25585,SUGARS,0.3
25586,SUGARS,1
25606,SUGARS,1.5
25664,FIBER,0.9
25999,SUGARS,0
26056,SUGARS,0.1
26180,SUGARS,0
26186,CARBS,2
26186,SUGARS,1.5
26692,SUGARS,0.4
26693,SUGARS,0
26694,SUGARS,0
26697,SUGARS,0
26698,SUGARS,0
26700,SUGARS,0.4
28504,SUGARS,0.5
28530,SUGARS,0.6
28804,SUGARS,0.1
28917,SUGARS,1.4
28925,SUGARS,1.08
30050,SUGARS,0.6
30051,SUGARS,0
30052,SUGARS,0.8
30102,CARBS,0
30125,CARBS,0.5
30125,SUGARS,0.5
30151,CARBS,0.8
30151,SUGARS,0.5
30152,CARBS,0.5
30152,SUGARS,0.4
30153,CARBS,0.5
30153,SUGARS,0.4
30154,CARBS,0.5
30154,SUGARS,0.4
30177,CARBS,0.5
30177,SUGARS,0.4
30701,SUGARS,1.3
30732,SUGARS,0.2
30750,CARBS,1
30750,SUGARS,0.8
30766,CARBS,1
30766,SUGARS,0.8
30778,CARBS,1
30778,SUGARS,0.8
30888,CALORIES,243
30889,CALORIES,166
31052,FIBER,3
31089,CALORIES,318
31108,CALORIES,148
31108,CARBS,15
31108,FIBER,0
36007,SUGARS,0
